date,AWND,PRCP,TMAX,TMIN,tmax_c,tmin_c,temp_range_c,temp_avg_c,prcp_mm,awnd_ms,year,month,temp_avg_c_roll7,prcp_mm_roll7,temp_avg_c_roll14,prcp_mm_roll14,prcp_z_nov
2016-11-28,2.5,0.0,16.7,8.3,1.67,0.8300000000000001,0.8399999999999999,1.25,0.0,0.25,2016,11,1.5285714285714285,0.11714285714285715,1.605357142857143,0.20214285714285715,-0.16495937728711998
2016-11-29,2.4,0.0,20.0,8.9,2.0,0.89,1.1099999999999999,1.4449999999999998,0.0,0.24,2016,11,1.512857142857143,0.11714285714285715,1.5778571428571428,0.20214285714285715,-0.16495937728711998
2016-11-30,2.9,0.0,19.4,8.9,1.94,0.89,1.0499999999999998,1.4149999999999998,0.0,0.29,2016,11,1.4807142857142856,0.11714285714285715,1.56,0.20214285714285715,-0.16495937728711998
2017-11-01,3.1,0.0,20.6,17.8,2.06,1.78,0.2800000000000001,1.9200000000000004,0.0,0.31,2017,11,1.4885714285714287,0.11714285714285715,1.58,0.20214285714285715,-0.16495937728711998
2017-11-02,3.1,1.8,20.0,14.4,2.0,1.44,0.5599999999999999,1.72,0.18,0.31,2017,11,1.4842857142857144,0.14285714285714285,1.5678571428571428,0.215,0.3484588574969998
2017-11-03,3.6,0.5,21.7,15.0,2.17,1.5,0.6699999999999999,1.8350000000000002,0.05,0.36,2017,11,1.5678571428571428,0.058571428571428566,1.5817857142857144,0.21857142857142858,-0.02234320095819782
2017-11-04,4.4,0.0,20.6,13.9,2.06,1.3900000000000001,0.6700000000000002,1.725,0.0,0.44000000000000006,2017,11,1.6157142857142859,0.032857142857142856,1.5939285714285716,0.12785714285714286,-0.16495937728711998
2017-11-05,3.1,0.0,20.6,15.6,2.06,1.56,0.5000000000000002,1.81,0.0,0.31,2017,11,1.695714285714286,0.032857142857142856,1.612142857142857,0.075,-0.16495937728711998
2017-11-06,3.3,0.0,20.6,15.0,2.06,1.5,0.5600000000000002,1.78,0.0,0.32999999999999996,2017,11,1.7435714285714285,0.032857142857142856,1.6282142857142858,0.075,-0.16495937728711998
2017-11-07,2.8,0.0,22.2,15.0,2.2199999999999998,1.5,0.72,1.86,0.0,0.27999999999999997,2017,11,1.8071428571428572,0.032857142857142856,1.6439285714285714,0.075,-0.16495937728711998
2017-11-08,4.1,0.0,23.3,13.9,2.33,1.3900000000000001,0.9400000000000001,1.86,0.0,0.41,2017,11,1.7985714285714285,0.032857142857142856,1.6435714285714287,0.075,-0.16495937728711998
2017-11-09,4.4,0.0,21.1,15.6,2.1100000000000003,1.56,0.5500000000000002,1.8350000000000002,0.0,0.44000000000000006,2017,11,1.815,0.0071428571428571435,1.6496428571428574,0.075,-0.16495937728711998
2017-11-10,3.0,0.0,20.6,13.9,2.06,1.3900000000000001,0.6700000000000002,1.725,0.0,0.3,2017,11,1.7992857142857144,0.0,1.6835714285714285,0.029285714285714283,-0.16495937728711998
2017-11-11,2.6,0.0,21.1,12.8,2.1100000000000003,1.28,0.8300000000000001,1.6950000000000003,0.0,0.26,2017,11,1.7950000000000002,0.0,1.7053571428571428,0.016428571428571428,-0.16495937728711998
2017-11-12,2.4,0.0,20.0,13.3,2.0,1.33,0.6699999999999999,1.6649999999999998,0.0,0.24,2017,11,1.7742857142857142,0.0,1.7349999999999999,0.016428571428571428,-0.16495937728711998
